2022-01-22 00:27:26.377> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0141 29150-CZ000 2022-01-20
2022-01-22 00:27:31.182> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:27:32.539> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:28:11.680> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0198 29136-N70002022-01-19 
2022-01-22 00:28:12.460> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0755 29135-N7000 2022-01-20
2022-01-22 00:28:13.553> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0275 29134-N7000 2022-01-20
2022-01-22 00:28:25.721> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0448 29150-N7000 2022-01-19
2022-01-22 00:28:30.448> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:28:32.445> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:29:27.374> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0191 29136-N70002022-01-19 
2022-01-22 00:29:28.217> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0754 29135-N7000 2022-01-20
2022-01-22 00:29:29.324> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0276 29134-N7000 2022-01-20
2022-01-22 00:29:38.294> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0446 29150-N7000 2022-01-19
2022-01-22 00:29:43.302> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:29:44.550> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:30:35.205> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 070122000600062827307620
2022-01-22 00:30:51.726> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92101G4600     SPP5LEHG4M0001 T220114HA5CA00009401A M CL009PP5L0041876
2022-01-22 00:30:53.317> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VEHSNP92102G4600     SPP5REHG4M0001 T220114HA6CA00008721A M CR009PP5R0041613
2022-01-22 00:30:55.267> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VD136P81130G3000SG30EHS0K0176T210907V3N1AL5100QIG2823MN
2022-01-22 00:31:57.357> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0192 29136-N70002022-01-19 
2022-01-22 00:31:58.075> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0768 29135-N7000 2022-01-20
2022-01-22 00:31:59.479> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0271 29134-N7000 2022-01-20
2022-01-22 00:32:04.814> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0445 29150-N7000 2022-01-19
2022-01-22 00:32:09.073> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:32:10.540> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:32:52.630> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0195 29136-N70002022-01-19 
2022-01-22 00:32:54.143> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0766 29135-N7000 2022-01-20
2022-01-22 00:32:55.157> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0269 29134-N7000 2022-01-20
2022-01-22 00:33:00.118> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0453 29150-N7000 2022-01-19
2022-01-22 00:33:04.408> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:33:05.672> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:33:54.080> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZL0 0076 29136-CZ000 2022-01-19
2022-01-22 00:33:55.297> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0762 29135-N7000 2022-01-20
2022-01-22 00:33:56.623> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 0265 29134-N7000 2022-01-20
2022-01-22 00:34:03.363> BarcodeResult: OK, MSG: COMPLETE , BARCODE: CZ00 0156 29150-CZ000 2022-01-20
2022-01-22 00:34:09.852> BarcodeResult: OK, MSG: COMPLETE , BARCODE: [)>06VUR49P95460N9000SN900T2108262300A0541
2022-01-22 00:34:10.570> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220005012064971N7000
2022-01-22 00:34:12.036> BarcodeResult: OK, MSG: COMPLETE , BARCODE: 2001220007012064981N7000
2022-01-22 00:34:57.855> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NL70 0482 29136-N70002022-01-19 
2022-01-22 00:34:59.868> BarcodeResult: OK, MSG: COMPLETE , BARCODE: N70 0757 29135-N7000 2022-01-20
2022-01-22 00:35:01.864> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NR70 1677 29134-N7000 2022-01-19
2022-01-22 00:35:05.437> BarcodeResult: OK, MSG: COMPLETE , BARCODE: NA70 0462 29150-N7000 2022-01-19
